Event,Magnitude,Fault Type,Distance,Depth,Station,Instrument,T* Class,P* Class,PGA,SA 0.01s,SA 0.02s,SA 0.03s,SA 0.05s,SA 0.07s,SA 0.1s,SA 0.15s,SA 0.2s,SA 0.25s, SA 0.3s,SA 0.4s,SA 0.5s,SA 0.75s,SA 1s,SA 1.5s,SA 2s,SA 3s,SA 4s,SA 5s,SA 7.5s,SA 10s
9710150103,7.1,1.0,298.18,62.3,SANT,SSA-2,IV,A,1.88E-02,1.90E-02,1.94E-02,2.30E-02,2.81E-02,3.42E-02,3.30E-02,4.34E-02,4.20E-02,5.48E-02,4.86E-02,4.03E-02,4.34E-02,2.46E-02,2.45E-02,1.30E-02,8.59E-03,3.29E-03,1.89E-03,1.44E-03,4.28E-04,0.00E+00  
0006160755,6.4,1.0,131.84,114,MET,K2,VI,None,5.29E-02,5.34E-02,5.52E-02,6.10E-02,1.01E-01,1.06E-01,1.13E-01,1.82E-01,1.48E-01,9.41E-02,7.00E-02,3.28E-02,3.05E-02,1.92E-02,1.21E-02,1.47E-02,7.72E-03,2.72E-03,1.51E-03,1.25E-03,7.15E-04,3.01E-04  
1002270634,8.8,0.0,143.55,28.1,MET,K2,VI,None,1.60E-01,1.61E-01,1.63E-01,1.67E-01,1.93E-01,2.67E-01,3.47E-01,3.99E-01,3.97E-01,4.35E-01,3.69E-01,3.28E-01,2.70E-01,2.12E-01,2.33E-01,1.44E-01,9.89E-02,5.62E-02,3.78E-02,2.26E-02,1.97E-02,0.00E+00  
9908010106,5.5,1.0,123.37,105.3,MET,K2,VI,None,1.06E-01,1.07E-01,1.09E-01,1.15E-01,1.41E-01,1.89E-01,1.90E-01,4.10E-01,2.44E-01,2.31E-01,2.28E-01,1.16E-01,6.90E-02,2.99E-02,1.44E-02,6.02E-03,2.94E-03,1.25E-03,7.16E-04,4.56E-04,2.09E-04,1.22E-04  
1002270634,8.8,0.0,128.44,28.1,CRMA,QDR,IV,C,5.29E-01,5.35E-01,5.40E-01,5.51E-01,6.12E-01,6.72E-01,6.52E-01,9.80E-01,9.29E-01,1.17E+00,1.20E+00,1.39E+00,1.84E+00,7.48E-01,4.34E-01,2.26E-01,1.81E-01,8.77E-02,5.16E-02,3.49E-02,1.76E-02,0.00E+00  
1002270634,8.8,0.0,146.51,28.1,HTIS,QDR,VI,None,2.99E-01,3.00E-01,3.01E-01,3.03E-01,3.17E-01,3.39E-01,4.11E-01,7.79E-01,7.02E-01,8.31E-01,1.07E+00,8.66E-01,6.02E-01,4.21E-01,2.80E-01,2.25E-01,1.58E-01,8.73E-02,4.71E-02,3.76E-02,0.00E+00,0.00E+00  
1002270634,8.8,0.0,143.49,28.1,HSOR,QDR,IV,B,2.70E-01,2.71E-01,2.72E-01,2.74E-01,2.95E-01,4.21E-01,4.77E-01,5.58E-01,7.28E-01,6.39E-01,6.70E-01,6.28E-01,7.84E-01,3.87E-01,2.39E-01,1.89E-01,1.44E-01,7.30E-02,3.83E-02,2.88E-02,0.00E+00,0.00E+00  
1002270634,8.8,0.0,81.68,28.1,TAL,SMA-1,VI,None,4.55E-01,4.56E-01,4.59E-01,4.66E-01,5.44E-01,5.97E-01,8.81E-01,1.17E+00,1.53E+00,1.50E+00,1.08E+00,7.97E-01,7.76E-01,7.37E-01,3.47E-01,2.15E-01,1.55E-01,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00  
0712160809,6.7,1.0,105.41,57,TOCP,ETNA,I,None,6.28E-02,6.42E-02,7.64E-02,8.61E-02,1.25E-01,1.83E-01,2.24E-01,1.64E-01,1.66E-01,1.20E-01,9.69E-02,8.27E-02,8.57E-02,3.66E-02,4.97E-02,1.54E-02,1.27E-02,4.59E-03,2.46E-03,1.39E-03,7.08E-04,3.74E-04  
1002270634,8.8,0.0,185.39,28.1,VALD,QDR,VI,None,1.14E-01,1.14E-01,1.14E-01,1.14E-01,1.16E-01,1.18E-01,1.24E-01,1.53E-01,1.79E-01,2.49E-01,2.02E-01,2.30E-01,2.46E-01,3.73E-01,3.15E-01,1.58E-01,1.07E-01,3.48E-02,2.98E-02,2.22E-02,6.61E-03,0.00E+00  
1002270634,8.8,0.0,112.05,28.1,VALU,SMA-1,II,A,2.04E-01,2.06E-01,2.10E-01,2.20E-01,2.72E-01,4.12E-01,4.74E-01,6.22E-01,4.47E-01,3.58E-01,3.13E-01,2.77E-01,1.89E-01,1.77E-01,1.40E-01,5.62E-02,5.30E-02,3.73E-02,0.00E+00,0.00E+00,0.00E+00,0.00E+00  
0712151822,5.9,0.0,47.31,28.9,VAL,SMA-1,V,B,8.46E-02,8.49E-02,8.58E-02,8.76E-02,9.95E-02,9.89E-02,1.40E-01,1.75E-01,1.35E-01,2.16E-01,2.04E-01,1.39E-01,1.76E-01,9.14E-02,3.54E-02,1.06E-02,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00  
1002270634,8.8,0.0,112.05,28.1,VAL,SMA-1,V,B,2.48E-01,2.48E-01,2.49E-01,2.50E-01,2.63E-01,2.83E-01,3.03E-01,3.92E-01,5.65E-01,4.64E-01,6.30E-01,5.00E-01,5.79E-01,7.32E-01,5.82E-01,1.59E-01,8.42E-02,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00  
0409272258,5.5,0.0,61.47,40.7,VINA,QDR,VI,None,3.90E-02,3.92E-02,3.97E-02,4.06E-02,4.63E-02,6.85E-02,9.42E-02,1.21E-01,8.36E-02,5.28E-02,5.62E-02,8.84E-02,1.22E-01,2.17E-02,1.41E-02,5.12E-03,2.26E-03,1.23E-03,0.00E+00,0.00E+00,0.00E+00,0.00E+00  
1002270634,8.8,0.0,115.59,28.1,VINA,QDR,VI,None,2.74E-01,2.75E-01,2.76E-01,2.79E-01,3.06E-01,3.73E-01,4.32E-01,4.89E-01,5.50E-01,5.40E-01,5.91E-01,6.07E-01,7.71E-01,9.70E-01,4.90E-01,1.70E-01,7.93E-02,4.60E-02,0.00E+00,0.00E+00,0.00E+00,0.00E+00  
0812190936,5.7,0.0,82.66,37.1,MAR,QDR,VI,None,5.50E-02,5.51E-02,5.54E-02,5.58E-02,5.66E-02,6.64E-02,8.58E-02,1.04E-01,8.78E-02,6.99E-02,7.80E-02,7.53E-02,7.53E-02,2.11E-01,1.08E-01,2.10E-02,1.04E-02,4.07E-03,2.15E-03,1.29E-03,5.59E-04,3.00E-04  
1002270634,8.8,0.0,115.53,28.1,MAR,QDR,VI,None,3.52E-01,3.53E-01,3.54E-01,3.56E-01,3.71E-01,3.97E-01,5.67E-01,8.46E-01,8.27E-01,7.48E-01,6.96E-01,1.02E+00,9.59E-01,9.14E-01,9.36E-01,2.92E-01,1.29E-01,5.37E-02,2.81E-02,1.56E-02,0.00E+00,0.00E+00  
0409272258,5.5,0.0,64.56,40.7,MAR,QDR,VI,None,4.67E-02,4.70E-02,4.76E-02,4.85E-02,5.60E-02,7.12E-02,1.01E-01,1.11E-01,2.41E-01,1.28E-01,6.65E-02,3.18E-02,1.56E-02,6.96E-03,6.26E-03,2.13E-03,9.25E-04,5.97E-04,3.24E-04,2.10E-04,7.55E-05,4.31E-05  
8503032247,8.0,0.0,86.1,35,LLAY,SMA-1,I,None,3.33E-01,3.42E-01,3.51E-01,3.59E-01,5.12E-01,6.31E-01,6.74E-01,6.62E-01,7.73E-01,9.34E-01,6.49E-01,6.08E-01,6.40E-01,5.43E-01,4.18E-01,1.80E-01,8.79E-02,5.10E-02,0.00E+00,0.00E+00,0.00E+00,0.00E+00  
8503032247,8.0,0.0,63.34,35,LLO,SMA-1,IV,B,7.06E-01,7.15E-01,7.30E-01,7.68E-01,1.05E+00,1.07E+00,1.32E+00,1.79E+00,1.83E+00,1.93E+00,1.27E+00,9.50E-01,7.53E-01,5.52E-01,3.93E-01,2.42E-01,1.52E-01,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00  
8503032247,8.0,0.0,99.79,35,TOR,SMA-1,I,None,1.24E-01,1.27E-01,1.34E-01,1.32E-01,1.41E-01,2.27E-01,2.69E-01,3.47E-01,3.83E-01,3.50E-01,2.66E-01,2.08E-01,1.60E-01,1.82E-01,1.74E-01,1.01E-01,9.01E-02,5.15E-02,0.00E+00,0.00E+00,0.00E+00,0.00E+00  
8503032247,8.0,0.0,72.22,35,ISI,SMA-1,VI,None,7.13E-01,7.14E-01,7.16E-01,7.20E-01,8.34E-01,9.91E-01,1.06E+00,1.54E+00,1.88E+00,1.87E+00,2.52E+00,2.90E+00,1.78E+00,6.22E-01,3.61E-01,1.38E-01,1.00E-01,5.77E-02,0.00E+00,0.00E+00,0.00E+00,0.00E+00  
8503032247,8.0,0.0,100.67,35,SFER,SMA-1,III,B,3.04E-01,3.66E-01,3.66E-01,4.18E-01,4.72E-01,6.80E-01,7.36E-01,6.92E-01,1.06E+00,7.67E-01,1.05E+00,7.13E-01,4.78E-01,3.69E-01,2.92E-01,1.65E-01,1.82E-01,5.96E-02,2.15E-02,1.32E-02,0.00E+00,0.00E+00  
8503032247,8.0,0.0,97.05,35,SFEL,SMA-1,I,None,2.87E-01,3.01E-01,3.46E-01,3.67E-01,6.51E-01,7.47E-01,7.26E-01,7.17E-01,6.06E-01,4.04E-01,4.02E-01,3.14E-01,2.96E-01,1.82E-01,1.37E-01,7.55E-02,6.15E-02,3.26E-02,0.00E+00,0.00E+00,0.00E+00,0.00E+00  
8503032247,8.0,0.0,109.34,35,END,SMA-1,V,A,1.24E-01,1.25E-01,1.26E-01,1.33E-01,1.75E-01,2.18E-01,2.65E-01,3.31E-01,3.66E-01,3.40E-01,3.44E-01,2.88E-01,2.99E-01,2.03E-01,1.39E-01,8.68E-02,5.62E-02,2.26E-02,1.06E-02,4.62E-03,1.57E-03,8.35E-04  
8503032247,8.0,0.0,182.94,35,CAU,SMA-1,IV,C,9.91E-02,1.01E-01,1.02E-01,1.03E-01,1.08E-01,1.22E-01,1.31E-01,1.48E-01,1.81E-01,2.33E-01,2.95E-01,4.64E-01,3.80E-01,1.18E-01,6.01E-02,3.03E-02,1.98E-02,1.85E-02,0.00E+00,0.00E+00,0.00E+00,0.00E+00  
8503032247,8.0,0.0,246.45,35,CHIL,SMA-1,III,A,5.67E-02,6.90E-02,6.51E-02,5.90E-02,5.87E-02,6.02E-02,6.06E-02,6.82E-02,9.07E-02,9.73E-02,1.06E-01,1.22E-01,1.43E-01,1.50E-01,1.33E-01,8.43E-02,6.97E-02,3.50E-02,0.00E+00,0.00E+00,0.00E+00,0.00E+00  
8503032247,8.0,0.0,109.44,35,CON85,SMA-1,V,C,1.06E-01,1.08E-01,1.11E-01,1.10E-01,1.14E-01,1.15E-01,1.12E-01,1.56E-01,2.45E-01,2.41E-01,3.09E-01,2.93E-01,2.35E-01,2.92E-01,3.03E-01,8.14E-02,4.11E-02,1.63E-02,0.00E+00,0.00E+00,0.00E+00,0.00E+00  
8503032247,8.0,0.0,84.39,35,HUA85,SMA-1,III,B,1.54E-01,1.61E-01,1.64E-01,1.65E-01,1.98E-01,2.61E-01,2.50E-01,2.96E-01,3.53E-01,3.89E-01,5.25E-01,4.79E-01,3.58E-01,1.98E-01,1.51E-01,9.28E-02,5.42E-02,2.41E-02,1.13E-02,0.00E+00,0.00E+00,0.00E+00  
8503032247,8.0,0.0,123.44,35,ILLA,SMA-1,III,B,1.03E-01,1.03E-01,1.05E-01,1.07E-01,1.24E-01,1.62E-01,2.09E-01,2.51E-01,3.20E-01,3.22E-01,2.06E-01,1.27E-01,9.35E-02,6.36E-02,5.87E-02,2.29E-02,1.20E-02,5.36E-03,0.00E+00,0.00E+00,0.00E+00,0.00E+00  
8503032247,8.0,0.0,72.64,35,ILO,SMA-1,III,C,2.45E-01,2.51E-01,2.52E-01,2.67E-01,2.85E-01,3.57E-01,3.95E-01,5.59E-01,6.49E-01,7.19E-01,9.77E-01,6.55E-01,3.08E-01,1.18E-01,9.00E-02,6.15E-02,3.79E-02,1.66E-02,0.00E+00,0.00E+00,0.00E+00,0.00E+00  
8503032247,8.0,0.0,50.33,35,PICH,SMA-1,VI,None,2.25E-01,2.27E-01,2.30E-01,2.40E-01,2.96E-01,4.81E-01,5.21E-01,9.35E-01,4.60E-01,3.53E-01,3.65E-01,3.25E-01,2.52E-01,2.44E-01,1.19E-01,8.60E-02,6.75E-02,4.49E-02,2.19E-02,1.09E-02,3.65E-03,1.83E-03  
8503032247,8.0,0.0,54.37,35,QUIN,SMA-1,VI,None,2.38E-01,2.88E-01,3.49E-01,4.10E-01,4.68E-01,6.37E-01,6.89E-01,6.24E-01,3.83E-01,4.16E-01,3.70E-01,2.68E-01,4.06E-01,1.91E-01,1.42E-01,9.66E-02,5.39E-02,4.75E-02,0.00E+00,0.00E+00,0.00E+00,0.00E+00  
8503032247,8.0,0.0,63.72,35,RAP,SMA-1,I,None,2.85E-01,3.01E-01,3.38E-01,3.32E-01,4.26E-01,4.62E-01,6.65E-01,5.83E-01,6.62E-01,5.01E-01,5.34E-01,4.26E-01,3.45E-01,2.05E-01,1.67E-01,1.11E-01,8.97E-02,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00  
8503032247,8.0,0.0,126.9,35,TAL,SMA-1,VI,None,1.68E-01,1.69E-01,1.70E-01,1.73E-01,1.78E-01,2.83E-01,3.29E-01,5.28E-01,3.74E-01,4.76E-01,4.05E-01,4.06E-01,3.37E-01,2.23E-01,1.33E-01,8.56E-02,5.13E-02,1.96E-02,9.54E-03,0.00E+00,0.00E+00,0.00E+00  
8503032247,8.0,0.0,54.1,35,VEN,SMA-1,V,C,2.23E-01,2.31E-01,2.47E-01,2.50E-01,3.16E-01,4.11E-01,6.39E-01,5.46E-01,7.08E-01,5.73E-01,5.44E-01,4.08E-01,4.13E-01,3.69E-01,8.62E-01,1.67E-01,7.32E-02,2.84E-02,0.00E+00,0.00E+00,0.00E+00,0.00E+00  
8503032247,8.0,0.0,84.28,35,VICH,SMA-1,I,None,2.91E-02,3.15E-02,2.99E-02,3.20E-02,3.73E-02,4.94E-02,5.75E-02,5.86E-02,7.35E-02,1.01E-01,8.23E-02,6.08E-02,6.22E-02,5.09E-02,4.22E-02,2.42E-02,1.67E-02,1.06E-02,0.00E+00,0.00E+00,0.00E+00,0.00E+00  
8503032247,8.0,0.0,60.05,35,VINA,SMA-1,VI,None,2.74E-01,2.75E-01,2.77E-01,2.83E-01,2.92E-01,3.59E-01,3.89E-01,6.89E-01,8.58E-01,6.04E-01,4.95E-01,4.68E-01,6.32E-01,8.00E-01,5.30E-01,2.04E-01,8.88E-02,3.83E-02,2.27E-02,1.20E-02,4.37E-03,2.13E-03  
8503032247,8.0,0.0,59.77,35,ZACH,SMA-1,I,None,2.90E-01,2.92E-01,2.97E-01,3.10E-01,4.22E-01,5.62E-01,7.14E-01,9.56E-01,1.05E+00,5.20E-01,3.97E-01,3.53E-01,2.69E-01,1.56E-01,1.16E-01,8.54E-02,3.49E-02,2.44E-02,1.33E-02,9.34E-03,2.89E-03,0.00E+00  
8503032338,6.4,0.0,78.06,17.8,END,SMA-1,V,A,3.55E-02,3.56E-02,3.59E-02,3.69E-02,4.21E-02,4.48E-02,4.87E-02,5.99E-02,6.68E-02,5.83E-02,6.50E-02,8.58E-02,5.71E-02,6.13E-02,6.29E-02,2.08E-02,1.54E-02,5.59E-03,2.38E-03,1.33E-03,5.23E-04,0.00E+00  
8503032338,6.4,0.0,91.48,17.8,LLO,SMA-1,IV,B,1.90E-01,1.91E-01,1.92E-01,1.94E-01,2.27E-01,2.74E-01,3.97E-01,4.26E-01,4.24E-01,3.76E-01,3.12E-01,5.20E-01,6.12E-01,2.91E-01,1.12E-01,5.20E-02,3.01E-02,1.14E-02,5.47E-03,3.60E-03,1.25E-03,6.68E-04  
8503032338,6.4,0.0,49.63,17.8,VINA,SMA-1,VI,None,8.23E-02,8.26E-02,8.31E-02,8.39E-02,8.89E-02,1.09E-01,1.61E-01,1.92E-01,1.97E-01,1.61E-01,1.75E-01,1.85E-01,3.09E-01,1.96E-01,7.35E-02,2.99E-02,1.87E-02,1.64E-02,5.96E-03,3.28E-03,1.00E-03,0.00E+00  
8111111737,6.7,1.0,68.51,56.1,LIG,SMA-1,IV,C,4.81E-01,5.06E-01,5.51E-01,6.01E-01,6.25E-01,9.97E-01,9.61E-01,1.11E+00,1.58E+00,1.07E+00,1.08E+00,7.23E-01,4.43E-01,1.64E-01,8.15E-02,4.72E-02,2.47E-02,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00  
8504090157,7.1,0.0,229,49.4,CAU,SMA-1,IV,C,6.39E-02,6.39E-02,6.40E-02,6.43E-02,6.50E-02,6.61E-02,7.43E-02,8.28E-02,1.14E-01,1.39E-01,1.80E-01,2.45E-01,2.12E-01,8.08E-02,3.46E-02,1.32E-02,5.65E-03,1.64E-03,9.01E-04,5.64E-04,0.00E+00,0.00E+00  
8504090157,7.1,0.0,166.71,49.4,CON85,SMA-1,V,C,4.65E-02,4.66E-02,4.67E-02,4.69E-02,4.77E-02,5.00E-02,5.40E-02,7.91E-02,1.34E-01,1.69E-01,1.97E-01,1.74E-01,8.99E-02,1.30E-01,1.17E-01,2.64E-02,1.71E-02,6.34E-03,3.07E-03,0.00E+00,0.00E+00,0.00E+00  
8504090157,7.1,0.0,128.82,49.4,ILO,SMA-1,III,C,1.35E-01,1.35E-01,1.36E-01,1.39E-01,1.49E-01,1.93E-01,2.42E-01,3.78E-01,3.04E-01,4.38E-01,4.87E-01,3.52E-01,2.48E-01,1.12E-01,7.16E-02,3.77E-02,2.02E-02,8.20E-03,3.43E-03,2.09E-03,0.00E+00,0.00E+00  
8504090157,7.1,0.0,118,49.4,QUIN,SMA-1,VI,None,2.70E-02,2.72E-02,2.78E-02,2.91E-02,3.45E-02,4.68E-02,4.68E-02,5.85E-02,5.57E-02,5.86E-02,5.73E-02,4.84E-02,5.41E-02,2.37E-02,1.71E-02,8.69E-03,5.22E-03,2.77E-03,1.10E-03,5.44E-04,0.00E+00,0.00E+00  
8504090157,7.1,0.0,53.47,49.4,RAP,SMA-1,I,None,1.49E-01,1.50E-01,1.53E-01,1.62E-01,2.46E-01,3.13E-01,3.49E-01,3.87E-01,3.29E-01,3.28E-01,3.34E-01,4.20E-01,3.17E-01,1.18E-01,1.14E-01,9.33E-02,7.43E-02,3.61E-02,0.00E+00,0.00E+00,0.00E+00,0.00E+00  
8504090157,7.1,0.0,84.57,49.4,SFER,SMA-1,III,B,6.39E-02,6.46E-02,6.64E-02,6.96E-02,1.01E-01,1.42E-01,1.43E-01,1.53E-01,1.43E-01,1.26E-01,1.14E-01,9.20E-02,5.65E-02,4.97E-02,5.08E-02,2.79E-02,1.41E-02,7.63E-03,3.24E-03,1.52E-03,0.00E+00,0.00E+00  
8504090157,7.1,0.0,129.2,49.4,END,SMA-1,V,A,2.64E-02,2.65E-02,2.68E-02,2.74E-02,3.38E-02,3.56E-02,4.23E-02,5.33E-02,5.43E-02,5.33E-02,5.19E-02,5.08E-02,4.03E-02,2.81E-02,3.63E-02,2.37E-02,2.05E-02,6.94E-03,0.00E+00,0.00E+00,0.00E+00,0.00E+00  
8504090157,7.1,0.0,162.19,49.4,VEN,SMA-1,V,C,7.16E-02,7.17E-02,7.20E-02,7.26E-02,7.47E-02,8.62E-02,9.59E-02,1.31E-01,1.41E-01,1.34E-01,1.30E-01,1.46E-01,1.03E-01,1.56E-01,2.44E-01,4.48E-02,1.73E-02,7.32E-03,3.53E-03,0.00E+00,0.00E+00,0.00E+00  
8504090157,7.1,0.0,127.94,49.4,DGF,SMA-1,VI,None,3.65E-02,3.67E-02,3.72E-02,3.84E-02,5.46E-02,6.27E-02,6.71E-02,8.67E-02,8.04E-02,9.34E-02,8.10E-02,6.90E-02,4.12E-02,4.54E-02,4.59E-02,3.11E-02,2.12E-02,5.08E-03,2.14E-03,1.20E-03,4.93E-04,0.00E+00  
0711141540,7.7,0.0,126.26,33.6,PB01,FBA ES-T,I,None,1.88E-01,1.92E-01,1.95E-01,2.06E-01,2.23E-01,3.27E-01,4.08E-01,6.69E-01,4.96E-01,5.85E-01,4.78E-01,2.07E-01,1.52E-01,7.94E-02,6.00E-02,3.01E-02,2.01E-02,1.36E-02,7.28E-03,7.13E-03,3.09E-03,0.00E+00  
0711141540,7.7,0.0,41.91,33.6,PB04,FBA ES-T,I,None,4.19E-01,4.33E-01,4.63E-01,5.52E-01,7.36E-01,9.75E-01,9.34E-01,1.14E+00,9.38E-01,7.67E-01,4.85E-01,4.22E-01,3.45E-01,2.65E-01,1.73E-01,1.16E-01,8.85E-02,5.35E-02,3.45E-02,1.71E-02,8.40E-03,3.74E-03  
0711141540,7.7,0.0,69.62,33.6,PB06,FBA ES-T,I,None,2.95E-01,2.98E-01,3.05E-01,3.36E-01,4.63E-01,6.34E-01,9.64E-01,7.95E-01,6.51E-01,4.97E-01,4.47E-01,3.15E-01,3.24E-01,1.71E-01,1.10E-01,6.83E-02,3.60E-02,2.28E-02,1.39E-02,9.09E-03,3.19E-03,0.00E+00  
0711141540,7.7,0.0,57.6,33.6,PB07,FBA ES-T,I,None,4.17E-01,4.24E-01,4.44E-01,5.06E-01,7.67E-01,9.02E-01,1.11E+00,9.63E-01,8.08E-01,7.41E-01,5.43E-01,4.31E-01,3.73E-01,3.16E-01,1.75E-01,6.10E-02,7.59E-02,2.05E-02,1.79E-02,1.08E-02,4.18E-03,0.00E+00  
0711141540,7.7,0.0,227.6,33.6,PB08,FBA ES-T,I,None,3.59E-02,3.64E-02,3.69E-02,3.76E-02,4.27E-02,5.68E-02,6.87E-02,8.09E-02,1.08E-01,1.12E-01,7.41E-02,7.19E-02,8.68E-02,3.49E-02,2.56E-02,1.85E-02,1.19E-02,6.93E-03,4.52E-03,4.59E-03,1.54E-03,7.85E-04  
0712160809,6.7,1.0,83.97,57,PB04,FBA ES-T,I,None,2.32E-01,2.34E-01,2.37E-01,2.68E-01,3.88E-01,6.17E-01,5.15E-01,7.84E-01,4.54E-01,3.94E-01,6.26E-01,3.33E-01,2.73E-01,1.54E-01,1.17E-01,7.66E-02,5.31E-02,1.61E-02,7.74E-03,4.33E-03,2.20E-03,1.25E-03  
0712160809,6.7,1.0,143.65,57,PB07,FBA ES-T,I,None,9.22E-02,9.27E-02,9.38E-02,9.74E-02,1.47E-01,2.12E-01,2.96E-01,2.20E-01,1.79E-01,1.46E-01,1.76E-01,1.54E-01,2.59E-01,1.01E-01,7.07E-02,2.14E-02,1.37E-02,5.19E-03,3.00E-03,2.05E-03,8.38E-04,4.13E-04  
1002270634,8.8,0.0,138.77,28.1,ANTU,FBA ES-T,IV,C,3.11E-01,3.15E-01,3.30E-01,4.49E-01,4.92E-01,5.78E-01,7.92E-01,6.23E-01,1.00E+00,7.84E-01,5.61E-01,4.96E-01,3.89E-01,2.14E-01,1.58E-01,1.02E-01,5.86E-02,2.67E-02,2.31E-02,1.92E-02,9.36E-03,6.51E-03  
1002270634,8.8,0.0,145.94,28.1,ROBL,FBA ES-T,VI,None,1.58E-01,1.59E-01,1.60E-01,1.65E-01,2.14E-01,2.28E-01,3.01E-01,3.46E-01,3.42E-01,4.27E-01,4.41E-01,3.49E-01,4.26E-01,4.99E-01,3.07E-01,1.84E-01,1.16E-01,4.25E-02,3.34E-02,2.41E-02,1.70E-02,0.00E+00  
1002270634,8.8,0.0,143.5,28.1,SLUC,FBA ES-T,I,None,1.44E-01,1.46E-01,1.49E-01,1.56E-01,1.80E-01,1.85E-01,2.12E-01,3.37E-01,3.34E-01,3.49E-01,3.49E-01,2.72E-01,2.56E-01,1.91E-01,1.79E-01,1.12E-01,9.08E-02,4.61E-02,3.07E-02,2.45E-02,1.99E-02,0.00E+00  
1002270634,8.8,0.0,194.17,28.1,CBCH,QDR,VI,None,2.98E-01,3.00E-01,3.02E-01,3.04E-01,3.30E-01,3.96E-01,5.68E-01,1.25E+00,7.83E-01,1.02E+00,8.73E-01,7.06E-01,9.06E-01,3.40E-01,1.87E-01,1.19E-01,7.05E-02,4.52E-02,2.41E-02,1.53E-02,0.00E+00,0.00E+00  
1002270634,8.8,0.0,96.52,28.1,CSCH,QDR,IV,C,3.15E-01,3.16E-01,3.17E-01,3.20E-01,3.31E-01,3.52E-01,4.39E-01,5.74E-01,6.42E-01,9.17E-01,1.01E+00,5.64E-01,7.08E-01,8.28E-01,3.80E-01,1.16E-01,6.13E-02,3.57E-02,3.42E-02,2.44E-02,0.00E+00,0.00E+00  
1002270634,8.8,0.0,107.41,28.1,COLB,QDR,I,None,4.13E-01,4.15E-01,4.16E-01,4.18E-01,4.28E-01,4.78E-01,5.49E-01,7.20E-01,7.79E-01,8.56E-01,9.92E-01,1.02E+00,8.60E-01,9.01E-01,1.14E+00,1.20E+00,1.10E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00  
1002270634,8.8,0.0,105.93,28.1,CVCH,QDR,IV,A,5.00E-01,5.01E-01,5.09E-01,5.07E-01,5.33E-01,5.16E-01,6.17E-01,6.40E-01,7.19E-01,8.89E-01,9.50E-01,8.80E-01,1.07E+00,1.27E+00,7.91E-01,3.58E-01,2.04E-01,8.51E-02,0.00E+00,0.00E+00,0.00E+00,0.00E+00  
1002270634,8.8,0.0,153.14,28.1,LACH,FBA ES-T,VI,None,2.71E-01,2.75E-01,2.77E-01,2.79E-01,3.10E-01,3.59E-01,4.42E-01,5.86E-01,6.47E-01,8.48E-01,8.27E-01,7.97E-01,6.45E-01,5.55E-01,5.95E-01,3.01E-01,2.54E-01,8.12E-02,3.99E-02,2.88E-02,1.61E-02,0.00E+00  
1002270634,8.8,0.0,194.81,28.1,MOCH,QDR,IV,C,1.57E-01,1.57E-01,1.57E-01,1.59E-01,1.60E-01,1.74E-01,2.11E-01,2.08E-01,3.38E-01,2.95E-01,3.53E-01,4.97E-01,5.56E-01,3.10E-01,1.17E-01,5.93E-02,4.54E-02,2.44E-02,1.17E-02,7.24E-03,0.00E+00,0.00E+00  
1002270634,8.8,0.0,226.71,28.1,VICH,QDR,I,None,2.85E-01,2.87E-01,2.88E-01,2.95E-01,3.26E-01,4.59E-01,5.48E-01,8.12E-01,8.37E-01,7.00E-01,7.51E-01,6.75E-01,6.03E-01,4.61E-01,4.99E-01,2.62E-01,2.60E-01,2.14E-01,0.00E+00,0.00E+00,0.00E+00,0.00E+00  
1002270634,8.8,0.0,135.96,28.1,OLMU,QDR,VI,None,3.03E-01,3.05E-01,3.08E-01,3.10E-01,3.37E-01,3.73E-01,4.24E-01,6.29E-01,7.71E-01,9.08E-01,6.16E-01,4.76E-01,6.38E-01,8.45E-01,2.91E-01,1.15E-01,6.62E-02,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00  
1002270634,8.8,0.0,164.04,28.1,SJCH,FBA ES-T,V,C,4.83E-01,4.87E-01,4.90E-01,5.05E-01,5.92E-01,7.66E-01,9.52E-01,1.17E+00,1.03E+00,1.07E+00,1.13E+00,1.11E+00,1.01E+00,1.05E+00,6.25E-01,3.25E-01,1.52E-01,8.75E-02,4.47E-02,3.65E-02,1.86E-02,1.64E-02  
1002270634,8.8,0.0,38.14,28.1,CCSP,FBA ES-T,V,B,6.39E-01,6.44E-01,6.53E-01,6.83E-01,7.30E-01,8.26E-01,1.11E+00,1.61E+00,2.02E+00,1.60E+00,1.27E+00,1.07E+00,9.98E-01,1.02E+00,6.40E-01,3.16E-01,2.14E-01,7.87E-02,6.06E-02,4.55E-02,2.41E-02,0.00E+00  
